path,airport,language,name,shortDesc,category,type,terminal,level,lat,long,locationId,squareImage,banner,,,
,klia2,en,WHSMITH,"WHSmith is a well known and well loved iconic British news, books and convenience retailing brand.",Shopping,location,,3,2.742867,101.686563,,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/SQUARE.jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/BANNER.jpg,,,
,klia,en,SEAL & GO,Seal & Go will help to protect will help to protect your luggage by wrapping it with tamper-resistant plastic film. Just wrap and go on your next travel trip!,Baggage Wrap,location,MTB,5,2.754028,101.703448,,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Ban.jpg,,,
,klia,en,DIOR,"With a huge range of iconic fragrances, cosmetics and beauty care products, we have whatever a fashionista might need to freshen up or gain a whole new look.",Shopping,location,MTB,5,2.754018,101.704786,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Dior\/Dior_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Dior\/Dior_Ban.jpg,,,
,klia,en,7-ELEVEN,"From tidbits to travel toiletries, the convenience store in KLIA is stocked with items that you would need for your journey.",Shopping,location,MTB,5,2.753915,101.705497,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/7eleven\/7ElevenMTB-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/7eleven\/7ElevenMTB-Banner.jpg,,,
,klia,en,KENS APOTHECARY,"KENS first brought about a beauty and skincare retail revolution where it proactively and progressively brought in cult brands like Diptyque, Creed, Annick Goutal, Dr Brandt and Cire Trudon.",Shopping,location,MTB,5,2.753721,101.704321,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Ken Apothecary\/Kens Apothecary_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Ken Apothecary\/Kens Apothecary_Ban.jpg,,,
,klia,en,TIME,Check out the wide collection of timepieces available here to ensure you are always on track.,Shopping,location,MTB,5,2.754243,101.705136,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Time\/Time_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Time\/Time_Ban.jpg,,,
,klia,en,LITTLE MALAYSIA,"Looking for last minute momentos to bring back home? Little Malaysia is the perfect place for that! From T-shirts, fridge magnets to corporate gifts - there's something for everyone to remind them of Malaysia.",Shopping,location,MTB,5,2.753705,101.704783,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Little Malaysia\/LittleMalaysia_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Little Malaysia\/LittleMalaysia_Ban.jpg,,,
,klia,en,SWAROVSKI,"Shine bright with Swarovski's gorgeous crystals, jewellery, accessories, watches, ornaments and more.",Shopping,location,MTB,5,2.753721,101.704321,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Swarovski\/Swarovski_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Swarovski\/Swarovski_Ban.jpg,,,
,klia,en,COSTA COFFEE,You can now enjoy the luxuriously rich and creamy taste of the UK'S favorite coffee before you board.,Restaurant,location,MTB,5,2.754056,101.704843,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Costa Coffee\/Costa_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Costa Coffee\/Costa_Ban.jpg,,,
,klia,en,LANCOME,"With a huge range of iconic fragrances, cosmetics and beauty care products, we have whatever a fashionista might need to freshen up or gain a whole new look.",Shopping,location,MTB,5,2.753764,101.704384,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Lancome\/Lancome_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Lancome\/Lancome_Ban.jpg,,,
,klia,en,GUARDIAN,"Guardian Pharmacy offers an extensive range of health, beauty and pharmaceutical products for all your needs.",Pharmacy,location,MTB,5,2.738122,101.705304,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Guardian\/GuardianMTB-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Guardian\/GuardianMTB-Banner.jpg,,,
,klia,en,Books & Magazines,Pick up some reading material for your pre-flight or in-flight entertainment at Books & Magazines.,Shopping,location,MTB,5,2.75425,101.70542,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Book & Mag\/Books&MagazinesMTB-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Book & Mag\/Books&MagazinesMTB-Banner.jpg,,,
,klia,en,YA KUN KAYA TOAST,"Nothing beats warm, comforting slices of kaya toast and a hot cup of coffee before your flight.",Restaurant,location,MTB,5,2.7542,101.705325,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Ya Kun Kaya Toast\/Yakun-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Ya Kun Kaya Toast\/Yakun-Banner.jpg,,,
,klia,en,DELICACIES OF MALAYSIA,Discover the unique delicacies and local treats that embody the best of Malaysia at Delicacies of Malaysia.,Shopping,location,MTB,5,2.753705,101.704783,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Delicacies of Malaysia\/Delicacies-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Delicacies of Malaysia\/Delicacies-Banner.jpg,,,
,klia,en,DIN BY DIN TAI FUNG,"Feast on a yummy selection of dishes, including its iconic Xiao Long Bao which is filled with meat and piping hot soup.",Restaurant,location,MTB,5,2.738122,101.706347,,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Din by Din Tai Fung\/DTF-Square.jpg,\/assets\/images\/MTB\/Level 5\/Shop and Dine\/Din by Din Tai Fung\/DTF-Banner.jpg,,,
,klia2,en,Q019,Boarding Gate L1,Boarding Gate,location,,,2.73701,101.68474,,\/assets\/images\/BoardingGate.jpg,\/assets\/images\/BoardingGateBanner.jpg,,,
,klia,en,Post Office (CLOSED),"KLIA has a Post Office for passengers or visitors who need to send off an urgent letter or package. Operated by POS Malaysia Berhad, there are various courier services located in the Main Terminal Building.",Courier Services,location,MTB,5,2.753915,101.705497,,\/assets\/Images\/Main Terminal Building (MTB)\/Level 5\/Services\/Post office (poslaju)\/Square (FILEminimizer).jpg,\/assets\/Images\/Main Terminal Building (MTB)\/Level 5\/Services\/Post office (poslaju)\/Banner (FILEminimizer).jpg,,,
,klia2,en,Eraman Liquor,"Whether you're looking for chocolates and snacks, cigarettes or cigars, wine or liquor, perfumes and cosmetics, or fashion products and accessories, they're right here at Eraman!",Shopping,location,,3,2.742152,101.686659,chiju79hazw_zterlwdkhbvbnbs,klia2\\Int Departure (Level 3)\\Shop&Dine\\Eraman Liquor\\SQUARE (FILEminimizer).jpg,klia2\\Int Departure (Level 3)\\Shop&Dine\\Eraman Liquor\\BANNER (FILEminimizer).jpg,,,
,klia2,en,Be Duty Free,"The concept for be duty free was kept in line with MAHB's ELITE (Experiential, Liberating, Innovative, Thrilling and Ever-changing) brand principles.",Shopping,location,,3,2.742146,101.686892,chijtxf2dzw_zterypinorltwfs,\/assets\/images\/klia2\/Int Departure (Level 3)\/Shop&Dine\/Be Duty Free\/Square (FILEminimizer).jpg,\/assets\/images\/klia2\/Int Departure (Level 3)\/Shop&Dine\/Be Duty Free\/Banner (FILEminimizer).jpg,,,
,klia2,en,Beauty Express by Colours,"Bright, organised and full of temptations in every direction, Beauty Express has a dynamic, classy, inviting environment where lingering is encouraged and experimenting is a must.",Shopping,location,,3,2.742901,101.686656,chijw2g0rzw_ztertqjtxwuvgze,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/BEAUTY EXPRESS BY COLOUR\/SQUARE (FILEminimizer).jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/BEAUTY EXPRESS BY COLOUR\/BANNER (FILEminimizer).jpg,,,
,klia2,en,WHSmith,"WHSmith is a well known and well loved iconic British news, books and convenience retailing brand",Shopping,location,,3,2.741821,101.68612,,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/SQUARE (FILEminimizer).jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/BANNER (FILEminimizer).jpg,,,
,klia2,en,Eraman Duty Free (Perfumes & Cosmetics),"Without any a doubt, the discerning travelers' \""Ultimate Shopping Shangri-La\"".",Shopping,location,,3,2.739772,101.688256,,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman - Perfume & Cosmetics 2.0\/Square (FILEminimizer).jpg,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman - Perfume & Cosmetics 2.0\/Banner (FILEminimizer).jpg,,,
,klia2,en,Eraman Wine and Cigar,"Whether you're looking for cigarettes and cigars, or wine and liquor, they're right here at Eraman!",Shopping,location,,3,2.742353,101.686982,ChIJkbR7_b-_zTERFc-9GE0H3yo,klia2\\Int Departure (Level 3)\\Shop&Dine\\Eraman Wine & Cigars\\Square (FILEminimizer).jpg,klia2\\Int Departure (Level 3)\\Shop&Dine\\Eraman Wine & Cigars\\Banner (FILEminimizer).jpg,,,
,klia2,en,Royal Selangor,"Renowned for its quality pewter products, Royal Selangor offers hundreds of items, all of which are made by Malaysian craftsmen",Shopping,location,,3,2.742621,101.686212,ChIJoSaBqJW_zTERXyHXwIAH6zE,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/ROYAL SELANGOR\/Square (FILEminimizer).jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/ROYAL SELANGOR\/BANNER (FILEminimizer).jpg,,,
,klia2,en,Chocolate Safari,"Every trip to Chocolate Safari at klia2 is a journey to confectionary heaven. With so many of the finest chocolates available in milk, white and dark, your inner child wont know what to buy. And in case the decision proves too difficult, take a look at our sweet selection.",Shopping,location,,3,2.743541,101.686188,chijzrjvuzw_zterlwvmrbugzzm,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/CHOCOLATE SAFARI\/SQUARE (FILEminimizer).jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/CHOCOLATE SAFARI\/BANNER (FILEminimizer).jpg,,,
,klia2,en,Eraman Duty Free (Liquor & Tobacco),"Without any a doubt, the discerning travellers' \""Ultimate Shopping Shangri-La\"".",Shopping,location,,3,2.739848,101.688423,,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman Liquor\/SQUARE (FILEminimizer).jpg,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman Liquor\/BANNER (FILEminimizer).jpg,,,
,klia2,en,ERAMAN FASHION & ACCESSORIES,"Without any a doubt, the discerning travelers' \""Ultimate Shopping Shangri-La\"".",Shopping,location,,3,2.742058,101.686453,,\/assets\/images\/klia2\/Int Departure (Level 3)\/Shop&Dine\/ERAMAN-perfume-accesorries\/Eraman perfume & cosmetics - square (FILEminimizer).jpg,\/assets\/images\/klia2\/Int Departure (Level 3)\/Shop&Dine\/ERAMAN-perfume-accesorries\/Eraman perfume & accessories - Banner (FILEminimizer).jpg,,,
,klia2,en,Eraman Duty Free (Chocolate & Confectionery),"Without any a doubt, the discerning travelers' \""Ultimate Shopping Shangri-La\"".",Shopping,location,,3,2.739966,101.688615,,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman - Choclates\/Square (FILEminimizer).jpg,\/assets\/images\/klia2\/Satellite Building\/Level 3\/Shop&Dine\/Eraman - Choclates\/Banner (FILEminimizer).jpg,,,
,klia2,en,KK Supermart,Supermart with 24hrs convenience.,Shopping,location,,3,2.743032,101.686859,ChIJLz-muZW_zTERHR5ltELRxHo,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/KK SUPERMART\/SQUARE (FILEminimizer).jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/KK SUPERMART\/BANNER (FILEminimizer).jpg,,,
